x,y,z,Class
2137.354,3437.938,600.0,0
1284.111,1752.411,250.87,0
1131.172,171.919,184.836,3
2116.336,5189.631,1027.456,3
5485.217,2774.62,411.413,0
2303.101,5998.481,899.873,1
3676.997,5271.281,890.752,3
289.388,4113.399,765.344,4
642.942,3879.471,1147.333,3
5360.187,4157.772,727.216,1
2156.805,5609.771,1273.522,3
5613.561,672.73,265.579,0
1541.778,4082.63,989.996,1
3693.973,2932.983,620.271,4
2357.384,3572.778,1085.972,1
5482.753,1827.704,848.819,3
833.018,1211.915,291.627,3
1503.711,5532.695,1127.148,2
2962.0,1081.667,524.222,2
452.931,1866.293,293.448,1
5967.452,4228.213,1124.601,0
3510.155,195.58,743.106,2
539.079,1402.459,906.531,3
1100.435,4449.249,1078.617,0
1152.917,482.744,468.791,3
3382.5,2805.0,1050.0,1
1498.586,4220.741,1323.401,1
638.516,1499.883,279.57,1
2276.394,4608.261,802.558,0
3747.657,4574.435,1079.079,1
1135.8,1200.179,278.969,3
1233.112,2053.458,251.902,0
3717.18,5455.125,1103.21,3
2189.81,932.048,518.571,2
5762.274,1749.037,772.82,3
1947.981,5391.709,1313.177,3
1649.873,4985.285,473.544,0
4999.826,5866.993,1122.244,3
3082.001,2240.364,645.634,1
4330.594,227.707,232.155,2
2145.786,1449.929,283.357,2
430.518,110.647,133.701,3
5698.538,3331.427,806.002,4
256.686,5246.703,1066.913,3
3130.0,3430.0,325.0,2
5903.842,1565.63,977.371,3
676.591,834.773,70.909,1
1194.107,1911.285,267.179,0
4465.707,2667.488,1096.463,1
1229.988,2017.224,1143.411,1
1873.277,3543.216,678.046,3
2328.909,5130.186,1253.405,3
4306.506,2049.676,1092.797,3
1054.579,3043.832,715.813,1
5615.95,4909.438,989.317,3
3112.493,2771.804,800.133,2
283.913,3819.565,1156.087,3
5870.914,2555.995,402.796,2
3319.52,5476.3,1014.511,3
1649.074,3786.667,624.074,1
2169.349,329.172,1145.444,1
2967.331,1646.264,312.781,0
882.72,5136.226,1305.376,3
2907.5,3320.0,580.0,2
4251.254,845.627,720.143,0
1398.087,3775.91,1004.103,1
5409.036,5614.819,878.072,1
309.802,1409.819,659.974,3
1032.835,4506.417,1003.228,0
3763.052,5198.677,1156.437,3
4916.58,5065.955,1120.492,3
4592.044,1321.788,322.883,0
2883.189,5382.516,1133.506,3
559.039,3663.243,1180.24,3
564.507,5604.88,678.16,0
1685.81,3815.229,1354.985,0
807.718,4597.49,1060.788,2
656.526,1988.951,597.846,1
1267.073,4858.78,1068.293,1
929.932,4524.384,915.137,0
5692.178,363.77,822.506,2
3287.917,1286.28,282.56,0
411.526,315.634,370.328,3
1189.237,4882.468,464.122,0
458.087,1972.013,765.906,0
5142.516,1120.644,610.598,2
4890.0,4570.0,1210.0,1
492.857,798.312,686.104,1
5390.233,5613.953,1080.233,2
1424.626,537.985,227.71,3
2245.603,1789.767,785.667,1
2987.912,1729.794,397.471,0
2058.911,3929.241,786.634,2
3438.216,3010.29,397.925,0
761.031,2527.937,656.812,2
2766.389,185.542,510.129,4
2010.056,4752.618,1057.078,4
