x,y,z,Class
2151.626,4674.959,1189.35,2
5251.785,2090.452,490.516,1
2094.233,3235.89,953.497,0
394.061,658.244,750.429,3
616.51,2880.471,1294.039,0
122.332,5627.746,1066.367,4
898.732,759.425,1040.914,3
4585.681,1839.145,1089.516,3
1223.64,4186.768,819.895,3
316.535,1807.724,1089.125,1
1017.985,990.96,798.864,3
4070.927,2541.192,935.695,0
5088.704,4120.923,981.513,4
4984.373,5655.125,993.835,0
3913.495,2803.827,494.974,0
5106.838,4835.263,619.225,3
4126.963,1933.063,190.969,0
5211.319,5766.513,877.832,4
1242.919,1464.644,581.353,1
1452.865,4795.545,1116.066,4
1099.033,1820.423,371.571,0
5926.681,1787.182,496.498,1
843.54,4841.021,1116.388,0
5312.439,4964.156,602.574,3
4094.142,2567.337,295.148,0
4282.932,2913.759,318.195,0
503.142,393.241,485.604,3
5336.84,2766.878,946.176,3
1370.425,534.452,920.29,3
5704.207,2059.378,481.002,1
868.611,3893.736,743.916,3
1015.725,640.198,622.387,3
1648.828,4760.276,997.759,0
5130.837,5121.036,631.702,3
884.666,2137.612,880.833,3
5580.108,1240.86,692.222,4
3553.393,2129.821,561.696,1
1004.534,86.606,524.534,3
4576.092,1520.016,1009.884,3
4483.644,4570.968,1089.313,2
4793.069,3457.834,1102.852,0
143.939,5029.347,732.139,3
3015.779,5943.612,1281.03,3
3729.36,2566.163,517.093,0
1019.831,1859.831,400.424,0
4550.54,2147.492,218.857,0
4132.45,2712.15,541.35,0
940.013,4882.972,1046.3,0
3683.627,5175.882,813.922,0
650.107,3282.821,1144.294,3
3078.08,6072.239,1009.897,3
2022.746,4815.141,1054.014,1
2644.576,4431.906,990.296,3
1860.317,365.754,336.113,3
4847.396,2618.105,908.936,3
5571.792,5790.483,1296.079,3
3965.042,2591.765,574.37,0
1990.417,5721.667,858.333,1
5656.951,5168.655,421.572,3
6060.0,5590.0,150.0,1
4818.823,5953.736,667.288,1
1322.147,2720.516,952.283,2
776.293,4893.666,1196.487,0
4172.383,2955.235,626.173,0
3072.5,4610.0,1090.0,2
1689.471,123.33,410.727,3
