x,y,z,Class
1777.5,3650.417,600.0,2
1234.692,2994.751,920.469,0
782.628,5388.786,1436.786,3
5432.587,1978.296,1026.276,3
5405.801,2023.684,725.902,3
4622.227,4238.002,506.417,1
5680.786,2759.578,936.164,0
2843.254,5123.492,1377.645,3
2947.812,1297.5,1109.688,1
4020.131,3614.629,916.419,2
5343.945,2419.647,826.027,3
2974.63,5786.818,491.11,1
4205.011,514.238,377.245,4
4709.027,5996.216,316.811,1
3684.71,1654.009,1306.624,0
4461.316,3580.702,1067.544,1
5156.231,2251.003,1036.288,3
5794.353,2457.302,441.691,0
1996.861,3231.277,803.577,0
1008.748,5949.213,1077.303,4
4634.583,4465.417,806.667,2
318.185,5000.579,551.158,0
1123.151,2698.296,725.852,0
6004.797,1528.455,670.081,1
3153.077,4790.538,460.577,0
228.897,2923.352,1286.104,1
3444.054,1444.976,785.389,1
4212.422,2013.806,305.882,0
4248.584,4224.388,1176.462,3
586.238,3201.857,1507.786,1
5182.757,2111.002,826.027,3
5157.398,4441.079,683.717,4
3766.612,1578.415,588.798,1
5702.357,2282.812,916.139,3
4327.106,2286.262,879.085,1
4791.0,4911.6,473.6,2
4528.663,551.489,773.374,0
2408.626,2515.879,632.912,1
3113.699,4522.603,960.342,1
3466.387,4875.21,408.571,1
5749.052,3911.392,275.342,4
5407.907,1216.163,407.558,1
3302.056,834.556,1336.967,1
5524.088,3251.226,619.877,2
3578.705,3480.026,1206.5,0
753.781,2633.219,973.094,0
4057.61,5767.868,576.581,0
2609.876,4569.876,1169.759,4
970.18,3473.559,1473.604,1
726.176,2559.49,1473.314,0
2213.287,4135.017,1286.851,4
5278.371,3038.921,406.17,4
4657.586,5875.914,627.971,4
3248.07,4513.06,582.863,4
5046.434,1586.382,988.516,2
1343.732,5939.859,1039.93,2
3740.366,4541.466,1101.761,3
524.918,2713.886,1291.522,1
238.569,3475.323,722.892,4
5250.109,3132.92,842.628,0
4905.12,1090.843,266.175,0
5442.264,2473.504,1116.388,3
3109.837,1800.782,954.072,0
3821.058,4739.232,976.213,3
5066.127,1954.349,293.048,0
1949.78,3068.74,1156.437,0
2141.26,4493.054,956.843,1
1856.175,4545.519,1185.519,1
1184.054,5135.135,337.568,1
3101.77,1278.918,264.197,0
4113.927,1540.028,957.754,4
2705.768,1889.625,1354.642,0
2106.09,4846.302,1289.305,3
1543.079,3649.778,1353.424,1
1569.207,2394.552,1299.69,0
4984.874,4435.309,1086.35,3
1029.655,5119.687,1332.989,3
818.107,3625.562,671.657,0
1146.957,1508.462,679.398,0
4640.0,1865.0,685.0,2
2977.845,4634.696,444.254,0
3442.903,5827.204,1080.502,0
3332.697,5251.364,720.576,0
747.829,2630.698,1549.302,0
3676.182,4058.335,1228.49,3
2092.183,1968.936,946.212,1
6065.226,782.511,706.026,1
3687.965,1751.484,1296.612,0
3750.577,1852.692,950.385,1
4305.75,4499.335,1214.481,3
332.707,3382.279,1241.909,0
2206.512,2975.302,1179.674,0
4586.585,476.585,763.78,0
2511.073,1898.707,818.244,1
5671.396,2753.784,797.838,0
4817.354,4860.628,979.955,1
760.567,4157.394,1146.652,1
766.772,3170.667,1543.544,0
3546.662,996.468,1199.592,4
285.292,1379.331,417.577,0
2452.111,3000.991,1108.533,3
773.644,4975.664,1499.213,3
3074.149,1859.506,846.052,0
2822.785,2974.861,443.679,1
404.421,2707.26,970.408,4
5086.352,6157.563,696.444,4
3355.743,2365.446,1138.614,0
1743.59,605.843,529.632,1
4492.1,2145.4,584.3,1
2440.282,2449.981,1140.433,2
2829.054,4175.449,828.66,4
922.5,5110.0,1055.0,1
5344.971,446.0,60.429,0
585.528,5169.929,1436.786,3
4719.918,1853.143,1229.265,1
3005.1,4116.745,533.11,4
5686.068,5829.641,364.486,4
5697.427,1950.562,972.48,3
5348.617,5636.545,943.527,1
4333.457,4506.473,933.065,3
1776.173,4887.716,1019.877,0
3303.905,5697.825,789.744,4
4002.222,5008.421,1137.719,2
5827.109,4997.341,854.623,4
4816.361,4198.518,1076.338,3
3827.744,5276.792,487.469,2
1916.83,3311.797,754.673,0
2505.834,1629.141,1118.847,1
3432.444,1208.43,826.027,0
