x,y,z,Class
534.129,1666.452,1038.0,1
1480.552,1278.98,820.227,4
2349.924,2329.502,485.604,0
756.786,3307.765,923.717,1
3189.676,2565.629,306.801,3
5421.651,1158.868,563.302,2
1959.181,701.502,371.229,2
2293.097,1869.88,555.296,1
1068.182,3024.848,515.628,0
4338.644,1822.464,455.595,1
4803.789,455.425,514.016,3
2997.686,4948.218,1169.375,4
4809.673,2925.589,730.053,3
4657.21,5130.873,989.265,0
2620.699,3741.685,865.897,4
766.848,1452.913,700.413,2
5121.456,5468.983,1005.202,1
1990.0,5790.0,870.0,1
2545.405,3069.551,1119.704,3
5870.268,5131.104,76.321,0
5458.275,3743.418,332.075,1
5674.694,1114.354,565.068,0
2636.539,4214.98,965.41,4
4661.667,1269.497,810.409,0
2421.852,1141.637,663.19,3
4620.799,2802.16,513.43,3
2682.13,3630.154,642.963,0
2091.242,489.208,433.742,1
3095.628,5843.591,947.596,1
2499.282,2197.394,298.989,0
2917.805,3958.293,730.732,1
4195.391,3961.637,866.076,3
3397.301,4660.778,1309.286,3
995.294,3029.412,407.899,0
4048.927,5220.881,1249.54,2
4829.392,4473.384,208.707,0
1059.84,3172.472,836.249,0
3986.554,1885.673,744.371,3
1251.324,5451.893,735.631,4
2439.53,3199.849,797.353,1
557.665,4367.989,605.753,0
1663.767,3311.767,1051.7,0
4632.091,2990.234,244.138,3
4593.498,1195.874,877.982,0
2135.713,4459.195,936.655,2
2340.306,2283.227,345.429,0
672.259,3039.65,711.322,4
5072.909,2902.993,763.206,3
5062.45,5082.947,1205.927,0
5003.275,782.745,802.48,3
5132.863,4594.658,436.41,2
5086.266,5378.977,411.051,1
2175.491,3100.549,452.861,1
1066.853,3207.492,585.938,0
691.64,897.383,288.35,3
4805.633,2619.184,874.657,3
2801.725,1630.415,204.473,0
1585.642,3326.048,517.486,1
1088.28,3115.16,609.8,0
4837.967,5049.35,1030.081,0
3684.954,4537.92,639.235,0
5056.98,2532.435,877.002,3
1072.449,2963.265,384.014,0
4091.497,2159.453,874.047,3
969.749,3086.695,557.95,0
3779.642,4198.01,1296.612,0
1038.494,3201.114,695.662,0
5748.253,5115.846,108.033,0
4569.735,1249.967,735.033,0
3088.296,2349.548,839.11,1
1130.0,3130.0,795.0,0
4524.726,1359.207,763.445,0
4714.452,5064.976,1077.238,0
3738.736,4124.944,1182.974,0
626.933,1151.091,637.139,4
3449.782,5052.93,511.041,2
948.219,2155.294,372.13,3
5090.0,573.478,122.174,1
4356.021,3945.454,1156.437,3
3526.519,2317.862,1059.979,3
4601.271,601.066,600.934,3
468.514,5915.906,604.167,0
3419.647,2830.627,459.333,1
5880.769,1125.348,579.56,0
3822.144,1883.156,1000.826,3
2803.199,2701.106,336.099,3
4725.193,4090.105,1110.456,3
2626.828,2295.534,254.337,0
4623.597,3652.095,1161.66,2
117.204,5393.268,923.733,4
441.346,2266.635,835.865,1
924.121,3210.767,736.134,0
2843.556,6150.71,818.754,3
2504.12,2311.852,267.454,0
1151.918,3210.74,696.075,0
2405.172,6025.0,563.966,1
609.824,4421.479,678.38,0
710.459,3815.845,1405.435,3
3294.133,3027.464,674.07,4
4715.436,825.374,802.166,3
3087.172,5274.276,700.759,1
612.529,4271.092,494.828,0
1910.761,755.539,1052.241,3
4527.706,221.468,279.908,1
2613.583,2253.208,884.042,1
891.818,2977.273,510.606,0
1610.634,232.123,1068.46,3
5744.509,1049.172,653.712,0
611.797,4393.753,515.641,0
1390.238,4121.667,570.595,2
4217.488,4192.518,941.839,3
2273.228,1492.983,949.712,1
1541.559,5808.044,1379.853,1
5715.014,4998.216,115.143,0
4790.666,2517.002,489.436,3
1317.617,2292.128,1089.064,2
2752.287,5760.574,881.249,1
873.75,2086.875,1055.312,1
3469.929,3753.49,782.101,1
2335.068,4957.432,703.716,1
4142.395,2205.03,1126.4,3
3137.396,3572.46,372.914,4
3435.851,6177.824,1016.473,4
2552.162,2711.815,416.023,0
521.952,4275.286,650.429,0
1310.154,4513.909,442.042,1
3540.625,1851.25,50.0,2
474.398,3091.932,1076.289,1
455.241,2838.414,623.402,2
4807.948,4949.03,1039.478,0
