x,y,z,Class
3927.906,4070.523,225.28,0
4008.603,383.309,798.529,2
188.815,2167.37,769.741,2
1352.893,1445.597,725.912,0
510.389,2157.244,362.438,0
2282.211,4170.642,807.039,3
4849.137,666.384,412.947,4
2192.89,171.392,495.616,0
619.176,1991.61,520.449,0
2798.99,1315.505,241.045,0
2536.024,3417.62,256.355,0
5175.693,1206.756,215.022,4
4635.698,2262.0,151.66,0
4136.679,1185.915,793.199,3
3302.378,1831.524,794.207,1
910.265,3239.47,907.848,1
2182.44,1225.034,1076.338,3
5395.425,4746.993,39.085,0
4396.744,5082.692,132.436,0
3126.686,4057.299,1156.437,3
2309.494,4590.127,344.557,0
5600.385,584.159,361.892,3
4842.5,412.5,438.333,1
2975.042,5637.426,1086.291,3
3898.451,1614.824,1008.257,3
1002.78,2972.855,700.217,4
4595.975,3413.592,1095.442,3
4555.0,3188.75,868.75,2
2435.147,921.61,1049.207,3
3009.867,4384.053,285.76,0
2259.0,1224.141,715.852,3
4227.966,4408.917,1033.563,3
3155.737,2509.436,149.875,0
3221.982,2918.325,265.33,0
3229.887,3158.038,1059.283,0
2073.311,3496.993,1163.75,1
3421.573,1462.485,305.38,0
1535.442,3177.381,1205.003,3
4239.923,2540.192,172.222,0
1841.78,1057.592,258.848,1
3343.273,4722.883,735.915,4
5269.381,4808.761,43.717,0
3383.0,2800.036,194.679,0
742.788,2808.077,246.058,2
3646.689,1782.23,88.311,0
2677.436,868.552,342.294,3
608.235,2829.608,478.693,1
3230.411,3924.05,903.202,3
2783.415,5731.957,917.101,3
4122.371,4852.662,225.28,0
4192.5,2611.806,149.769,0
5388.235,4480.0,84.706,0
2189.662,117.874,595.74,0
2133.513,5544.092,839.866,4
4349.217,2580.569,697.082,0
2349.196,3677.366,735.089,1
2132.535,2661.582,689.108,2
3506.524,1792.811,1036.299,3
2482.763,295.84,690.206,4
3023.031,6098.949,542.343,4
2316.45,4391.133,1066.221,3
1944.65,161.916,585.728,0
2155.564,4599.751,1226.02,3
268.662,4730.318,916.115,0
3121.796,4434.709,264.563,0
550.896,1484.776,625.075,1
4286.667,2535.149,605.498,0
2687.924,2725.328,632.393,4
2836.001,455.2,275.173,4
1210.503,5687.487,1217.588,0
5850.904,575.293,735.879,3
5980.404,4244.379,478.416,0
1178.346,5227.0,345.429,0
4393.259,885.599,236.462,0
3670.099,2118.144,520.99,2
3585.105,1694.895,99.247,0
5598.248,890.665,230.051,3
2870.0,1590.0,215.0,1
6183.204,996.602,946.99,1
993.954,1705.229,366.405,0
3167.563,2035.642,455.566,0
2311.395,1129.953,423.085,3
5654.074,2942.728,61.945,4
238.946,4853.061,909.898,0
3621.489,341.667,73.652,0
2285.357,2137.571,596.214,2
388.433,3230.336,768.209,2
6045.567,2430.597,715.623,3
3287.952,2245.186,149.096,0
3242.6,452.621,489.296,1
3391.454,2889.264,335.417,0
743.959,238.379,1177.853,1
1177.73,5141.064,425.529,0
3452.853,2717.301,962.577,1
2025.333,4083.449,1013.484,1
1885.771,2380.697,668.159,1
4618.52,2364.605,202.105,0
2213.117,2918.397,1252.563,3
3552.222,228.148,556.481,2
1328.307,1547.677,653.425,0
2694.397,4488.369,818.369,1
4341.167,3756.5,532.667,2
3410.451,4713.045,295.94,0
2428.114,4271.673,1335.552,0
5303.962,3755.786,58.176,0
5024.323,2631.095,824.726,0
1698.475,4467.553,1310.344,3
1245.704,2002.993,743.873,0
1779.966,580.292,485.604,0
3807.282,2263.107,561.197,0
4329.907,3719.346,547.009,1
1636.918,3798.904,1006.075,4
409.479,1796.38,525.534,1
4582.511,1738.01,569.479,1
6161.707,2651.433,465.402,4
1957.082,145.518,465.579,0
4620.519,2441.364,105.357,0
1725.534,494.356,644.849,0
5415.078,4630.078,54.219,0
751.138,1426.892,458.677,0
6013.231,1871.433,680.048,4
1290.839,1518.942,797.372,0
4236.513,2479.339,515.641,0
4401.817,1002.721,835.005,3
2387.281,2326.345,331.932,1
5612.53,2504.846,757.101,3
2652.943,1048.475,883.276,3
3725.132,3520.212,537.937,2
2076.604,200.819,575.716,0
985.214,2133.973,598.405,4
2350.062,2564.704,216.978,0
2381.72,4060.32,1021.0,0
582.143,2769.968,1076.364,0
1545.135,468.754,595.74,0
3615.771,1045.806,224.552,0
277.276,3258.78,897.378,2
1379.817,2702.33,783.111,4
1334.486,3988.322,802.226,0
2468.306,4779.707,273.485,0
1436.036,1368.571,989.781,4
5923.825,2647.136,880.662,3
1010.903,3442.274,1142.175,3
5704.167,3290.0,85.833,0
3298.877,4560.393,515.641,4
4309.621,2389.686,485.604,0
448.929,2528.214,811.667,1
1385.017,5077.747,364.983,0
901.401,5325.541,774.427,1
1134.771,5679.086,898.514,0
3501.536,3769.701,1211.88,3
6042.997,3306.628,713.333,4
6067.043,3899.28,953.521,3
1643.592,547.51,582.98,0
5869.463,488.783,285.901,3
679.125,2770.252,855.0,4
4124.483,4142.615,1148.458,3
2947.351,4494.183,306.881,0
1634.084,507.488,455.566,0
2367.675,4872.213,269.412,0
5812.21,954.718,134.827,3
1584.637,454.698,685.852,0
2963.526,4115.076,947.772,3
5940.845,736.687,114.293,3
1402.102,2384.13,834.912,1
3270.772,3235.528,1016.263,0
3086.108,1940.784,475.514,0
4244.615,1461.256,917.947,3
2492.225,4304.511,735.979,3
3335.99,3213.02,1097.624,0
4331.237,779.541,209.293,0
2345.93,4470.807,329.193,0
3067.628,5861.795,977.738,3
839.231,1602.692,1088.077,2
5058.617,2754.639,826.027,0
4263.185,4747.497,225.28,0
3173.276,4450.517,1039.138,0
2587.987,1253.328,771.87,3
5377.5,4507.5,85.833,0
1501.315,5047.829,332.783,0
83.114,5729.56,1219.524,0
2214.444,2556.385,1187.927,3
5755.45,2294.051,667.695,3
1875.447,2614.342,921.947,1
3880.999,3552.474,1003.724,3
4639.096,2192.289,61.386,0
2273.256,4937.781,298.732,0
2295.068,4704.11,382.363,0
1504.843,5180.322,355.442,0
524.99,5021.579,1300.106,1
728.817,4151.187,967.208,1
4524.646,1289.394,73.081,1
3103.444,4679.447,1043.352,1
1085.929,5158.59,465.579,0
3056.445,2174.747,1036.756,3
2349.623,474.663,334.96,2
2782.653,1819.135,1019.265,4
5543.821,3528.374,47.154,0
1582.199,582.679,355.442,0
3530.063,771.996,413.662,4
1845.342,4530.955,856.591,3
4393.977,2435.568,552.273,0
2990.879,1990.733,521.832,0
3093.113,4729.102,645.803,4
1573.409,390.881,495.616,0
2141.774,4385.963,846.593,3
